"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Acceptable PM2.5 AQI & Speciation Mass","Ozone","PM2.5","PM2.5 - Local Conditions"
2018-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,54,NA
2018-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,19,NA
2018-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,43,NA
2018-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,30,35,NA
2018-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,31,NA
2018-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,43,NA
2018-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,56,NA
2018-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,14,NA
2018-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,39,NA
2018-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,39,NA
2018-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,31,38,NA
2018-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,32,NA
2018-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,35,NA
2018-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,29,NA
2018-01-10,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,33,22,NA
2018-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,37,NA
2018-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,35,NA
2018-01-11,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,17,NA
2018-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,12,NA
2018-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,59,NA
2018-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,43.5,NA
2018-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,NA,0,NA
2018-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,26,35,NA
2018-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,48.5,NA
2018-01-11,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,34,NA
2018-01-11,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,NA,3,NA
2018-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,55,NA
2018-01-11,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,26,23,NA
2018-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,27.5,NA
2018-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,41,NA
2018-01-12,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,10,NA
2018-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,0,NA
2018-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,23,NA
2018-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,5,NA
2018-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,33,20,NA
2018-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,23,NA
2018-01-12,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,8,NA
2018-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,15,NA
2018-01-12,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,35,0,NA
2018-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,12,NA
2018-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,13,NA
2018-01-13,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,18,NA
2018-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,10,NA
2018-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,10,NA
2018-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,20,NA
